primary breed,secondary breed,mixed,primary color,secondary color,age,gender,size,coat,spayed_neutered,house_trained,special_needs,shots_current,children,dogs,cats,tags,name,status,status_changed_at,published_at
Border Terrier,Wirehaired Terrier,True,Yellow / Tan / Blond / Fawn, ,Young,Male,Small,Wire,False,True,True,True,None,True,None,[],Henry,adopted,27/07/2020 22:14,21/07/2020 17:46
Pit Bull Terrier,Mixed Breed,True,Black, ,Adult,Female,Medium,Medium,True,True,False,True,True,True,None,"['Loving', 'Forgiving', 'Sweet', 'Gentle']",Grace,adoptable,21/07/2020 15:38,21/07/2020 15:38
Treeing Walker Coonhound,None,True,Tricolor (Brown, & White),Baby,Male,Small,Short,False,False,False,False,None,True,None,[],Roomba,adopted,21/07/2020 17:28,21/07/2020 13:58
Hound,None,False,None, ,Adult,Female,Medium,Short,True,True,False,True,None,True,None,[],Jenn,adopted,25/07/2020 14:03,21/07/2020 15:20
Beagle,None,False,Tricolor (Brown, & White),Adult,Male,Small,Short,True,False,False,True,None,True,None,[],Pinto,adopted,23/07/2020 12:58,21/07/2020 20:32
Mixed Breed,None,False,Black, ,Adult,Female,Medium,None,True,False,False,True,None,None,None,"['Dog friendly', 'Energetic', 'No Cats']",Meg 19377,adoptable,21/07/2020 20:00,21/07/2020 20:00
Chihuahua,Terrier,True,None, ,Senior,Male,Small,None,False,False,False,True,None,None,None,[],Charlie,adoptable,21/07/2020 11:05,21/07/2020 11:05
Coonhound,Hound,True,Tricolor (Brown, & White),Baby,Male,Medium,Short,True,True,False,True,True,True,True,"['Active', 'Loving  playful']",Walker,adopted,27/07/2020 09:42,21/07/2020 11:43
Terrier,None,True,Gray / Blue / Silver, ,Baby,Male,Small,Short,False,False,False,False,True,True,True,[],KNOX,adopted,30/07/2020 18:05,21/07/2020 17:41
Pit Bull Terrier,None,True,None, ,Young,Male,Large,Short,True,True,False,True,True,None,False,[],Kool-aid Man,adopted,03/08/2020 14:40,21/07/2020 19:36
Labrador Retriever,None,True,Apricot / Beige, ,Adult,Female,Large,Short,True,False,False,True,None,True,None,[],Amber,adopted,03/08/2020 15:31,21/07/2020 18:28
Shepherd,Labrador Retriever,True,Black, ,Baby,Male,Medium,Short,True,False,False,True,True,True,None,[],Bass,adopted,22/07/2020 22:11,21/07/2020 13:23
Border Collie,None,True,None, ,Senior,Male,Medium,None,True,True,False,True,True,True,None,[],Rey Rojo,adopted,21/07/2020 17:12,21/07/2020 17:12
Lhasa Apso,None,True,None, ,Adult,Female,Small,None,True,False,False,True,False,True,None,[],Elsa,adopted,24/07/2020 15:01,21/07/2020 20:14
Mixed Breed,None,True,None, ,Adult,Female,Medium,Medium,True,False,False,True,True,True,None,[],Cleo,adoptable,21/07/2020 17:10,21/07/2020 17:10
Pug,None,False,Black, ,Baby,Male,Medium,Medium,True,True,False,True,True,True,True,[],Oreo,adoptable,21/07/2020 20:47,21/07/2020 20:47
Mixed Breed,None,True,Bicolor, ,Young,Male,Large,Medium,True,False,False,True,None,None,None,[],Miller,adopted,22/07/2020 19:25,21/07/2020 17:08
Mixed Breed,None,False,Red / Chestnut / Orange, ,Young,Male,Medium,Short,True,True,False,True,True,True,None,[],Stark,adoptable,21/07/2020 20:25,21/07/2020 20:25
Mixed Breed,None,True,White / Cream, ,Young,Male,Medium,Short,True,False,False,True,True,True,True,[],Milo,adopted,08/08/2020 19:21,21/07/2020 18:08
Chihuahua,None,False,None, ,Adult,Female,Small,None,False,False,False,False,None,None,None,[],Chiquita,adoptable,21/07/2020 19:04,21/07/2020 19:04
Retriever,None,True,None, ,Adult,Male,Large,Medium,True,True,False,True,None,None,None,[],Jester,adopted,06/08/2020 18:18,21/07/2020 15:31
Pit Bull Terrier,None,True,None, ,Baby,Female,Large,None,True,False,False,False,True,True,None,[],Esmerelda,adopted,21/07/2020 15:13,21/07/2020 15:13
Beagle,None,True,Brown / Chocolate, ,Young,Male,Medium,Short,False,True,False,True,True,True,True,[],Scout,adopted,29/07/2020 19:04,21/07/2020 19:56
Labrador Retriever,None,True,Bicolor, ,Baby,Female,Medium,Short,False,False,False,True,True,True,True,[],Cricket,adopted,22/07/2020 15:30,21/07/2020 19:05
German Shepherd Dog,None,True,Black, ,Adult,Male,Large,Medium,True,True,False,True,None,True,None,"['low key', 'loving nature', 'likely housebroken']",Izzy von Iserlohn,adopted,24/07/2020 03:35,21/07/2020 19:13
Plott Hound,Labrador Retriever,True,Brindle, ,Young,Male,Medium,Short,True,True,False,True,True,True,None,['active loving playful'],Ziggy,adopted,24/07/2020 17:01,21/07/2020 15:52
Basenji,None,False,None, ,Adult,Female,Medium,None,True,True,False,True,True,True,True,[],Maggie,adopted,30/07/2020 19:37,21/07/2020 20:01
Mixed Breed,None,True,Tricolor (Brown, & White),Baby,Female,Medium,None,False,False,False,True,True,True,True,[],Adelle,adoptable,06/08/2020 18:39,21/07/2020 13:40
Shepherd,None,True,White / Cream, ,Young,Male,Medium,Short,True,False,False,True,None,None,None,[],Tide,adopted,27/07/2020 23:55,21/07/2020 18:39
Pomeranian,None,False,White / Cream, ,Senior,Female,Small,Long,True,False,False,True,None,True,True,[],Gidget **READ ENTIRE DESCRIPTION**,adoptable,21/07/2020 17:04,21/07/2020 17:04
Siberian Husky,None,True,None, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Ivan,adopted,24/07/2020 19:36,21/07/2020 16:04
Beagle,Basset Hound,True,Brown / Chocolate, ,Adult,Male,Small,Short,True,False,False,True,None,None,None,[],Cuttlefish,adopted,27/07/2020 04:07,21/07/2020 18:25
Chihuahua,None,True,None, ,Adult,Female,Small,None,True,True,False,True,True,True,True,[],Sulu&amp;Norris,adopted,21/07/2020 17:26,21/07/2020 17:26
Glen of Imaal Terrier,None,True,None, ,Adult,Female,Small,None,True,True,False,True,True,True,None,[],Ellie,adopted,27/07/2020 13:37,21/07/2020 13:37
Husky,None,True,None, ,Young,Female,Medium,Short,True,False,False,True,None,None,None,[],Laika,adopted,22/07/2020 17:57,21/07/2020 15:21
Chihuahua,Terrier,True,Red / Chestnut / Orange, ,Adult,Male,Small,Short,True,False,False,True,True,True,True,[],Spunky,adopted,04/08/2020 21:41,21/07/2020 17:45
Labrador Retriever,None,True,Black, ,Baby,Female,Large,None,True,False,False,True,None,None,None,[],Mabel,adopted,25/07/2020 15:24,21/07/2020 18:57
Terrier,None,True,Brindle, ,Young,Male,Large,Short,True,True,False,True,None,True,None,[],Miles,adopted,18/08/2020 23:15,21/07/2020 20:14
Dachshund,None,False,Black, ,Adult,Male,Small,Long,True,True,False,True,True,True,None,[],Dexter,adopted,14/08/2020 20:51,21/07/2020 15:32
Cairn Terrier,Yorkshire Terrier,True,None, ,Senior,Male,Small,None,True,True,False,True,True,True,True,[],SIMON,adopted,07/08/2020 15:55,21/07/2020 19:51
Cattle Dog,None,False,Merle (Blue), ,Baby,Male,Medium,Medium,False,False,False,False,None,None,None,[],Sawyer,adoptable,12/08/2020 15:50,21/07/2020 20:18
Brittany Spaniel,None,False,Red / Chestnut / Orange, ,Senior,Male,Medium,Medium,False,True,False,True,True,True,True,[],Zeke,adopted,11/08/2020 16:18,21/07/2020 14:46
Boxer,None,True,None, ,Baby,Female,Medium,None,True,False,False,True,None,True,None,[],Shirley,adoptable,21/07/2020 13:46,21/07/2020 13:46
Dachshund,Terrier,True,None, ,Young,Female,Small,None,True,True,False,True,True,True,True,[],Gracie,adopted,21/07/2020 20:45,21/07/2020 20:45
Terrier,None,True,None, ,Adult,Male,Small,None,True,False,False,True,None,True,False,[],201011 Frasier,adopted,23/07/2020 20:02,21/07/2020 14:57
Chihuahua,None,True,None, ,Young,Male,Small,None,True,False,False,True,None,True,None,[],Brady,adoptable,21/07/2020 17:55,21/07/2020 17:55
Pit Bull Terrier,None,False,None, ,Young,Male,Large,None,True,False,False,False,None,None,None,[],BOOMERANG,adoptable,21/07/2020 13:50,21/07/2020 13:50
Great Pyrenees,Anatolian Shepherd,True,Brown / Chocolate, ,Baby,Male,Large,Medium,True,True,False,True,True,True,None,[],Silas (Avail. July 30),adopted,01/08/2020 16:01,21/07/2020 14:37
Beagle,None,True,None, ,Young,Female,Medium,None,True,True,False,True,True,True,True,[],Emmy Lou,adopted,21/07/2020 20:47,21/07/2020 20:47
Yorkshire Terrier,None,True,None, ,Adult,Female,Small,None,True,False,False,True,True,True,True,[],Leisel,adopted,21/07/2020 18:30,21/07/2020 15:09
Husky,Pit Bull Terrier,True,Brown / Chocolate, ,Young,Male,Large,Medium,True,True,False,True,True,True,None,[],Tate,adoptable,21/07/2020 18:20,21/07/2020 18:20
Pit Bull Terrier,None,False,Bicolor, ,Adult,Female,Medium,Short,False,False,False,False,None,None,None,[],LEXI,adopted,23/07/2020 20:58,21/07/2020 20:08
Chihuahua,None,False,None, ,Adult,Male,Small,None,True,True,False,True,False,True,True,[],Davey,adopted,21/07/2020 20:33,21/07/2020 20:33
Border Collie,None,False,Black, ,Baby,Female,Medium,Medium,False,False,False,True,None,None,None,[],River,adopted,27/07/2020 18:23,21/07/2020 18:51
Hound,Labrador Retriever,True,Tricolor (Brown, & White),Baby,Male,Large,Short,True,False,False,True,True,True,True,[],Twizzler,adopted,27/07/2020 23:39,21/07/2020 20:43
Hound,None,False,Brindle, ,Baby,Male,Large,Short,True,True,False,True,None,True,True,[],Tony,adopted,14/08/2020 21:28,21/07/2020 17:28
Pit Bull Terrier,None,False,None, ,Adult,Female,Large,None,True,False,False,False,None,None,None,[],2006-0616 Lexi,adoptable,21/07/2020 13:55,21/07/2020 13:55
Dachshund,Mixed Breed,True,None, ,Senior,Male,Medium,Medium,True,True,False,True,None,True,False,[],Dave,adoptable,14/08/2020 00:32,21/07/2020 18:00
Labrador Retriever,Mixed Breed,True,None, ,Adult,Female,Large,None,True,False,False,False,None,None,None,[],Tiana,adoptable,21/07/2020 13:06,21/07/2020 13:06
Carolina Dog,Shepherd,True,None, ,Adult,Male,Medium,None,False,False,False,False,None,None,None,[],Kyle,adoptable,21/07/2020 19:00,21/07/2020 19:00
Chihuahua,Terrier,True,None, ,Young,Female,Small,None,True,True,False,False,None,True,True,[],Diva,adopted,22/07/2020 15:46,21/07/2020 13:40
Labrador Retriever,Rhodesian Ridgeback,True,Red / Chestnut / Orange, ,Baby,Male,Medium,Short,True,False,False,True,True,True,True,[],Randy,adopted,25/07/2020 19:20,21/07/2020 12:28
Husky,Labrador Retriever,True,None, ,Young,Male,Large,None,True,True,False,True,True,True,None,[],Kolbi,adopted,21/07/2020 11:05,21/07/2020 11:05
Beagle,None,True,None, ,Adult,Male,Medium,None,False,False,False,False,None,None,None,[],Pipsy,adoptable,21/07/2020 20:00,21/07/2020 20:00
Beagle,Mixed Breed,True,None, ,Adult,Female,Medium,None,True,False,False,False,None,None,None,[],Janette,adoptable,21/07/2020 14:06,21/07/2020 14:06
Mixed Breed,None,False,Yellow / Tan / Blond / Fawn, ,Young,Male,Small,Short,True,False,False,True,None,None,None,[],Ruby Tuesday,adopted,21/07/2020 17:20,21/07/2020 17:20
German Shepherd Dog,None,False,Black, ,Young,Female,Large,Long,True,False,False,True,None,None,None,[],*Luna von Lorch,adopted,27/07/2020 19:00,21/07/2020 19:30
Australian Cattle Dog / Blue Heeler,Labrador Retriever,True,None, ,Adult,Female,Medium,None,True,True,False,False,True,True,True,[],ROSIE - $95 (See Video),adopted,07/08/2020 01:13,21/07/2020 20:46
Labrador Retriever,Pointer,True,Black, ,Baby,Male,Large,Short,True,True,False,True,True,True,False,[],George,adopted,23/07/2020 17:34,21/07/2020 14:40
Siberian Husky,Husky,True,Tricolor (Brown, & White),Adult,Male,Medium,None,True,True,False,True,False,True,False,[],Sam Husky,adoptable,21/07/2020 18:45,21/07/2020 18:45
Border Collie,None,True,None, ,Adult,Male,Medium,None,True,False,False,False,None,None,None,[],Howie courtesy listing,adoptable,21/07/2020 10:35,21/07/2020 10:35
German Shepherd Dog,None,True,None, ,Adult,Female,Medium,None,True,False,False,False,None,False,None,[],Paris,adoptable,21/07/2020 18:15,21/07/2020 18:15
American Staffordshire Terrier,None,True,Brown / Chocolate, ,Adult,Female,Large,Short,True,True,False,True,True,None,None,"['Playful', 'Loving']",Layla,adopted,07/08/2020 17:13,21/07/2020 19:39
Husky,Hound,True,None, ,Adult,Female,Medium,None,True,True,False,True,True,True,None,[],Mia (husky),adopted,21/07/2020 11:20,21/07/2020 11:20
German Shepherd Dog,None,True,Black, ,Young,Male,Medium,Medium,True,False,False,True,None,None,None,[],Noah,adopted,02/08/2020 21:09,21/07/2020 13:36
Mastiff,Pit Bull Terrier,True,None, ,Young,Male,Large,None,True,True,False,True,None,False,False,[],Reece,adoptable,21/07/2020 18:21,21/07/2020 18:21
Retriever,Terrier,True,Brown / Chocolate, ,Adult,Female,Medium,Medium,True,False,False,False,None,None,None,[],Hershey,adoptable,21/07/2020 10:45,21/07/2020 10:45
Pit Bull Terrier,None,False,Black, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,"['Fence Preferred', 'Good with older children twelve positive', 'Potty trained', 'Walks well on a leash']",Hopper,adoptable,21/07/2020 15:15,21/07/2020 15:15
Mixed Breed,None,True,Brindle, ,Adult,Male,Medium,Short,True,False,False,True,None,None,False,[],Leo,adopted,23/07/2020 15:29,21/07/2020 15:34
Vizsla,None,False,Red / Chestnut / Orange, ,Adult,Male,Large,Short,True,True,False,True,True,True,True,[],Red,adoptable,21/07/2020 17:24,21/07/2020 17:24
Maltese,None,True,None, ,Baby,Female,Medium,None,False,False,False,False,True,True,True,[],Fern,adopted,21/07/2020 17:43,21/07/2020 17:43
Mixed Breed,None,True,White / Cream, ,Baby,Male,Medium,Medium,False,False,False,False,None,None,None,[],Moscato,adopted,31/07/2020 17:43,21/07/2020 20:12
Schnauzer,Wirehaired Terrier,True,Black, ,Young,Female,Medium,Short,True,True,False,True,True,True,True,[],Tippy,adopted,22/07/2020 22:30,21/07/2020 20:54
Mixed Breed,None,False,Black, ,Young,Male,Large,Short,True,False,False,True,None,None,None,[],Banksy,adoptable,21/07/2020 15:23,21/07/2020 15:23
Miniature Pinscher,None,False,Bicolor, ,Young,Female,Small,Short,True,True,False,True,None,None,True,[],Gracie,adopted,04/08/2020 04:44,21/07/2020 18:00
Pit Bull Terrier,None,False,None, ,Baby,Male,Medium,None,True,False,False,False,None,None,None,[],Tucker (4110),adopted,24/07/2020 18:21,21/07/2020 15:27
Terrier,None,False,Brindle, ,Young,Female,Medium,Short,True,True,False,True,True,True,False,[],Lulu (Best Dog Ever),adoptable,31/07/2020 18:39,21/07/2020 18:43
Hound,None,True,Brown / Chocolate, ,Baby,Male,Medium,Short,True,False,False,True,True,True,True,[],Elsa in NH,adopted,24/07/2020 18:11,21/07/2020 15:25
Dachshund,None,True,Golden, ,Adult,Female,Medium,Short,True,True,False,True,None,False,None,"['Smart', 'Cuddler', 'Sweet']",Coco,adoptable,21/07/2020 19:46,21/07/2020 19:46
Labrador Retriever,None,True,White / Cream, ,Adult,Male,Medium,Medium,True,True,False,True,True,True,None,[],Benny,adopted,08/08/2020 14:35,22/07/2020 14:27
Anatolian Shepherd,Great Pyrenees,True,None, ,Adult,Male,Large,None,False,True,False,True,True,True,None,[],Tonka,adopted,21/07/2020 15:29,21/07/2020 15:29
Dachshund,None,False,Black, ,Adult,Male,Small,Long,True,True,False,True,True,True,None,[],Buddy,adoptable,14/08/2020 20:59,21/07/2020 15:34
Beagle,Mixed Breed,True,None, ,Adult,Female,Small,None,False,False,False,False,None,None,None,[],Twyla,adoptable,21/07/2020 19:06,21/07/2020 19:06
Australian Cattle Dog / Blue Heeler,Australian Shepherd,True,Tricolor (Brown, & White),Young,Female,Medium,Short,False,False,False,False,None,True,None,"['Friendly', 'submissive', 'outgoing']",Kara,adopted,24/07/2020 17:35,21/07/2020 20:21
Chihuahua,None,False,Black, ,Young,Female,Small,Short,False,False,False,True,None,None,None,[],Pacey,adopted,29/07/2020 16:46,21/07/2020 17:44
Boxer,American Bulldog,True,None, ,Adult,Male,Large,None,True,True,True,True,None,True,None,[],Charlie - STARTING HEARTWORM TREATMENT SOON!!,adoptable,21/07/2020 15:22,21/07/2020 15:22
German Shepherd Dog,None,True,Yellow / Tan / Blond / Fawn, ,Young,Female,Medium,Short,True,True,False,True,True,True,True,[],Asha (Great Family Dog),adopted,26/07/2020 21:13,21/07/2020 14:07
Pit Bull Terrier,Shepherd,True,None, ,Young,Female,Medium,None,True,False,False,True,True,True,None,[],Ahe,adopted,21/07/2020 15:57,21/07/2020 15:57
Border Collie,None,True,None, ,Baby,Female,Medium,None,True,True,False,True,None,None,None,[],Madonna,adopted,21/07/2020 12:54,21/07/2020 12:54
Australian Shepherd,None,False,Tricolor (Brown, & White),Young,Female,Medium,Medium,True,True,False,True,True,True,None,[],Norah,adopted,30/07/2020 13:58,21/07/2020 19:09
Plott Hound,Hound,True,None, ,Adult,Male,Medium,None,False,False,False,False,None,None,None,[],Lawson,adopted,30/07/2020 16:57,21/07/2020 17:21
Mixed Breed,Hound,True,Black, ,Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Taffy,adopted,22/07/2020 19:58,21/07/2020 13:55
Labrador Retriever,None,False,Yellow / Tan / Blond / Fawn, ,Baby,Male,Medium,Short,True,False,False,True,True,True,None,[],Astro,adopted,30/07/2020 02:22,21/07/2020 18:08
Corgi,None,True,Apricot / Beige, ,Senior,Male,Medium,Medium,True,True,True,True,True,True,None,"['Loving', 'Sweet', 'Happy', 'Playful', 'Outgoing', 'Social', 'Friendly', 'Nice']",Fox,adopted,31/07/2020 03:34,21/07/2020 20:15
Boxer,None,True,Brindle, ,Young,Female,Medium,Short,True,False,False,True,None,None,None,[],Donna,adopted,30/07/2020 18:06,21/07/2020 18:18
Corgi,Basset Hound,True,Black, ,Adult,Male,Medium,Short,True,True,False,True,False,True,False,[],Tubby,adopted,08/08/2020 10:54,21/07/2020 16:00
American Bulldog,None,False,White / Cream, ,Adult,Female,Small,None,False,False,False,True,None,None,None,[],Stella,adoptable,21/07/2020 15:20,21/07/2020 15:20
German Shepherd Dog,None,True,Bicolor, ,Adult,Male,Large,Long,True,False,False,True,True,True,True,[],Shep,adopted,02/08/2020 00:38,21/07/2020 20:11
Hound,None,True,None, ,Baby,Male,Medium,Short,False,False,False,True,True,True,True,[],Riddler,adopted,04/08/2020 14:09,21/07/2020 13:49
English Pointer,None,True,Black, ,Adult,Female,Medium,Short,True,False,False,True,None,None,None,[],EMORI,adopted,26/07/2020 01:03,21/07/2020 20:52
Jack Russell Terrier,Chihuahua,True,Tricolor (Brown, & White),Adult,Male,Small,Short,True,False,False,True,None,None,None,[],Barracuda,adopted,23/07/2020 02:34,21/07/2020 18:17
Terrier,None,True,None, ,Adult,Male,Small,None,True,False,False,True,None,True,None,[],201011 Kenny,adopted,21/07/2020 17:13,21/07/2020 14:57
Pointer,None,True,Harlequin, ,Baby,Female,Medium,Short,True,False,False,True,None,True,None,[],Sammie,adopted,09/08/2020 14:15,21/07/2020 17:55
Cattle Dog,Catahoula Leopard Dog,True,Black, ,Baby,Male,Large,Short,True,False,False,True,None,None,None,[],Sampson,adoptable,21/07/2020 19:15,21/07/2020 19:15
Boxer,None,False,None, ,Adult,Female,Medium,None,False,False,False,False,None,None,None,[],Taryn,adopted,30/07/2020 16:57,21/07/2020 17:21
Boxer,American Staffordshire Terrier,True,Brown / Chocolate, ,Adult,Female,Medium,Short,False,True,False,True,False,False,False,[],Mocha,adoptable,21/07/2020 20:21,21/07/2020 20:21
Terrier,None,True,Brown / Chocolate, ,Baby,Male,Medium,Short,True,False,False,True,True,True,True,[],Pixar#1m,adopted,25/07/2020 17:35,21/07/2020 20:39
Poodle,None,False,None, ,Senior,Female,Small,None,True,True,False,True,True,True,True,[],Holly,adopted,21/07/2020 12:23,21/07/2020 12:23
German Shepherd Dog,None,True,Black, ,Adult,Female,Medium,Short,True,False,False,True,None,None,None,[],Carmen,adopted,10/08/2020 18:21,21/07/2020 19:02
Husky,None,True,None, ,Young,Male,Medium,None,False,False,False,False,None,None,None,[],*Rocket* Puppy,adopted,21/07/2020 19:43,21/07/2020 19:43
Pit Bull Terrier,None,False,None, ,Adult,Female,Medium,None,False,False,False,False,None,None,None,[],Rose (4125),adopted,13/08/2020 17:39,21/07/2020 15:40
Hound,Pit Bull Terrier,True,White / Cream, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,"['Friendly', 'Heartworm positive under treatment call shelter for more info', 'Jumps Fences', 'Microchipped', 'Neutered', 'Plays well with other dogs', 'Walks Well On A Leash']",Hunter,adoptable,21/07/2020 20:10,21/07/2020 20:10
Labrador Retriever,None,True,Black, ,Baby,Male,Medium,Medium,True,False,False,True,True,True,True,[],Benny,adopted,24/07/2020 11:33,21/07/2020 18:21
Plott Hound,None,True,Brindle, ,Young,Male,Medium,Short,True,False,False,True,None,True,None,[],Peanut Butter  (no apartments),adoptable,21/07/2020 20:07,21/07/2020 20:07
Hound,None,True,Tricolor (Brown, & White),Baby,Male,Medium,Short,False,True,False,True,True,True,True,[],Julio,adopted,22/07/2020 15:30,21/07/2020 19:12
Pug,None,False,Yellow / Tan / Blond / Fawn, ,Adult,Male,Medium,Medium,True,True,False,True,True,True,True,[],Bisbee,adopted,05/08/2020 21:08,21/07/2020 20:36
Hound,None,True,Black, ,Adult,Male,Medium,Short,True,False,False,True,False,True,None,[],Bubba,adopted,04/08/2020 21:18,21/07/2020 14:23
Mixed Breed,None,True,Brindle, ,Young,Female,Medium,Short,True,True,True,True,None,True,None,['Sweet girl'],Scarlett,adoptable,21/07/2020 14:58,21/07/2020 14:58
Pug,Dachshund,True,None, ,Adult,Male,Small,Short,True,True,False,True,False,False,False,[],Buddy,adoptable,21/07/2020 14:55,21/07/2020 14:55
Plott Hound,None,False,Brown / Chocolate, ,Baby,Female,Medium,None,True,False,False,True,None,None,None,[],Charity,adoptable,21/07/2020 15:45,21/07/2020 15:45
Labrador Retriever,None,True,None, ,Young,Female,Medium,None,True,False,False,False,None,None,None,[],Sahara,adopted,21/07/2020 19:59,21/07/2020 19:59
Labrador Retriever,Rhodesian Ridgeback,True,Red / Chestnut / Orange, ,Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Ruby,adopted,25/07/2020 19:20,21/07/2020 12:35
Labrador Retriever,None,True,Black, ,Adult,Male,Large,Short,True,False,False,True,None,None,None,[],Oliver,adopted,24/07/2020 15:24,21/07/2020 17:09
Chihuahua,None,True,None, ,Young,Female,Small,None,False,False,False,True,False,None,False,[],Arbella,adopted,28/07/2020 12:33,21/07/2020 18:09
Labrador Retriever,Redbone Coonhound,True,Black, ,Baby,Male,Medium,Short,True,False,False,True,True,True,True,[],Morgan - Sweet Puppy Breath,adopted,25/07/2020 17:54,21/07/2020 18:43
Husky,None,True,None, ,Young,Female,Medium,None,True,False,False,False,None,None,None,[],Blink,adopted,26/07/2020 05:59,21/07/2020 18:24
Black Labrador Retriever,None,True,None, ,Baby,Female,Large,None,True,False,False,True,True,True,True,[],Black Lab Mix F#1,adopted,22/07/2020 16:46,21/07/2020 15:13
Australian Cattle Dog / Blue Heeler,None,True,None, ,Young,Female,Medium,Short,True,False,False,True,True,True,None,[],Addison,adopted,26/07/2020 19:35,21/07/2020 17:52
Saint Bernard,None,True,None, ,Baby,Female,Extra Large,None,True,False,False,True,True,True,True,[],Peach Ring,adopted,21/07/2020 17:12,21/07/2020 17:12
Chihuahua,Terrier,True,None, ,Adult,Male,Small,Short,True,False,False,True,None,True,None,[],Kujo,adopted,25/07/2020 20:47,21/07/2020 18:23
Cattle Dog,Catahoula Leopard Dog,True,Black, ,Baby,Female,Large,Short,True,False,False,True,None,None,None,[],Sassy,adoptable,21/07/2020 19:13,21/07/2020 19:13
Beagle,None,False,Tricolor (Brown, & White),Adult,Female,Small,Short,True,False,False,True,None,True,None,[],Precious,adopted,22/07/2020 20:17,21/07/2020 20:30
Terrier,None,True,White / Cream, ,Baby,Female,Medium,None,True,False,False,True,True,True,True,[],Pixar#2f,adopted,25/07/2020 17:35,21/07/2020 20:46
Hound,Labrador Retriever,True,None, ,Adult,Male,Large,None,True,False,False,False,None,None,None,[],2007-1628 Hercules,adopted,25/07/2020 14:56,21/07/2020 13:41
Basset Hound,Terrier,True,White / Cream, ,Adult,Male,Medium,Medium,True,True,False,True,True,True,True,"['friendly', 'good wth kids', 'good with dogs']",Devito,adopted,27/07/2020 16:55,21/07/2020 19:15
Australian Cattle Dog / Blue Heeler,Shepherd,True,None, ,Baby,Female,Medium,None,False,False,False,False,True,True,None,[],Rylie,adopted,21/07/2020 20:29,21/07/2020 20:29
Chinese Crested Dog,Poodle,True,None, ,Adult,Female,Medium,None,True,True,False,False,None,True,True,[],Honeybee,adopted,24/07/2020 19:51,21/07/2020 20:43
Chihuahua,Dachshund,True,None, ,Adult,Male,Small,None,True,True,False,False,None,True,None,[],Lookie (Bear) D2274,adopted,21/07/2020 13:41,21/07/2020 13:41
Hound,Pit Bull Terrier,True,None, ,Adult,Female,Medium,None,True,False,False,False,None,None,None,[],Trixie,adoptable,21/07/2020 18:06,21/07/2020 18:06
American Bulldog,Boxer,True,None, ,Adult,Female,Large,None,True,False,False,True,None,None,None,[],BECKY,adopted,25/07/2020 21:02,21/07/2020 15:42
Pit Bull Terrier,None,False,None, ,Adult,Male,Large,None,False,True,False,True,False,None,False,[],Roman,adoptable,21/07/2020 10:15,21/07/2020 10:15
Boxer,None,True,Red / Chestnut / Orange, ,Young,Male,Medium,Short,True,True,False,True,True,True,True,[],Mac (Great Family Dog),adopted,26/07/2020 21:12,21/07/2020 18:51
Hound,Coonhound,True,None, ,Baby,Female,Medium,Short,True,False,False,True,True,True,None,[],Persephone,adopted,22/07/2020 01:26,21/07/2020 14:05
Miniature Pinscher,None,False,Brown / Chocolate, ,Senior,Male,Medium,None,True,False,False,True,None,True,None,"['loving', 'calm']",Pillsbury,adopted,11/08/2020 15:25,21/07/2020 15:31
Pit Bull Terrier,Mixed Breed,True,None, ,Adult,Male,Medium,None,True,False,False,False,None,None,None,[],HORATIO,adoptable,21/07/2020 19:52,21/07/2020 19:52
American Bulldog,Mixed Breed,True,None, ,Young,Male,Medium,None,True,False,False,False,None,None,None,[],REUBEN,adoptable,21/07/2020 18:51,21/07/2020 18:51
German Shepherd Dog,Mixed Breed,True,None, ,Senior,Female,Medium,None,True,False,False,False,None,None,None,[],BRANDY,adoptable,21/07/2020 19:51,21/07/2020 19:51
Chihuahua,Terrier,True,White / Cream, ,Senior,Female,Small,Medium,True,True,False,True,True,True,True,[],Rita,adopted,14/08/2020 23:34,21/07/2020 14:51
German Shepherd Dog,Belgian Shepherd / Malinois,True,None, ,Young,Male,Large,None,False,False,False,False,True,True,None,[],Berry,adopted,07/08/2020 02:54,21/07/2020 14:53
Mixed Breed,None,False,None, ,Adult,Female,Medium,None,False,False,False,False,None,None,None,[],EGGROLL,adopted,06/08/2020 15:21,21/07/2020 18:51
Great Pyrenees,None,False,None, ,Adult,Female,Large,None,True,True,False,False,True,True,True,[],Frankie,adopted,28/07/2020 18:14,21/07/2020 12:21
Mixed Breed,None,True,None, ,Adult,Female,Medium,Short,True,False,False,True,None,None,None,[],Deja Vu,adopted,04/08/2020 20:02,21/07/2020 19:45
Hound,Black Mouth Cur,True,Red / Chestnut / Orange, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,"['Friendly', 'Heartworm positive under treatment call shelter for more info', 'Microchipped', 'Neutered', 'Walks Well On A Leash']",Carter,adoptable,21/07/2020 20:10,21/07/2020 20:10
Terrier,None,False,Yellow / Tan / Blond / Fawn, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Sarge,adopted,01/08/2020 02:41,21/07/2020 15:02
